teamA,teamB,teamAAttack,teamAMidfield,teamADefense,teamAFormScore,teamAStrength,teamBAttack,teamBMidfield,teamBDefense,teamBFormScore,teamBStrength,result
"Mexico","South Africa","78","77","74","10","78","72","73","71","8","72","teamAWin"
"South Africa","Mexico","72","73","71","8","72","78","77","74","10","78","teamBWin"
"Mexico","South Korea","78","77","74","10","78","79","78","76","10","79","draw"
"South Korea","Mexico","79","78","76","10","79","78","77","74","10","78","draw"
"Mexico","Czechia","78","77","74","10","78","76","78","79","8","77","draw"
"Czechia","Mexico","76","78","79","8","77","78","77","74","10","78","draw"
"Mexico","Canada","78","77","74","10","78","77","73","71","10","76","draw"
"Canada","Mexico","77","73","71","10","76","78","77","74","10","78","draw"
"Mexico","Switzerland","78","77","74","10","78","77","80","82","8","79","teamBWin"
"Switzerland","Mexico","77","80","82","8","79","78","77","74","10","78","draw"
"Mexico","Qatar","78","77","74","10","78","72","73","70","7","71","teamAWin"
"Qatar","Mexico","72","73","70","7","71","78","77","74","10","78","teamBWin"
"Mexico","Bosnia and Herzegovina","78","77","74","10","78","75","77","74","8","75","teamAWin"
"Bosnia and Herzegovina","Mexico","75","77","74","8","75","78","77","74","10","78","draw"
"Mexico","Brazil","78","77","74","10","78","89","85","81","10","86","teamBWin"
"Brazil","Mexico","89","85","81","10","86","78","77","74","10","78","teamAWin"
"Mexico","Morocco","78","77","74","10","78","78","79","84","10","81","teamBWin"
"Morocco","Mexico","78","79","84","10","81","78","77","74","10","78","teamAWin"
"Mexico","Haiti","78","77","74","10","78","70","69","68","7","69","teamAWin"
"Haiti","Mexico","70","69","68","7","69","78","77","74","10","78","teamBWin"
"Mexico","Scotland","78","77","74","10","78","75","78","77","8","76","draw"
"Scotland","Mexico","75","78","77","8","76","78","77","74","10","78","draw"
"Mexico","USA","78","77","74","10","78","76","74","72","10","76","teamAWin"
"USA","Mexico","76","74","72","10","76","78","77","74","10","78","draw"
"Mexico","Paraguay","78","77","74","10","78","74","75","77","8","75","teamAWin"
"Paraguay","Mexico","74","75","77","8","75","78","77","74","10","78","draw"
"Mexico","Australia","78","77","74","10","78","76","75","76","10","77","draw"
"Australia","Mexico","76","75","76","10","77","78","77","74","10","78","draw"
"Mexico","Türkiye","78","77","74","10","78","80","79","75","10","80","draw"
"Türkiye","Mexico","80","79","75","10","80","78","77","74","10","78","teamAWin"
